lonxa,fecha,ingresos_real,ingresos_predicho,ingresos_lower,ingresos_upper,error_absoluto,error_pct,modelo,fecha_ejecucion
Ribeira,2024-03-01,2382580.44,3206038.4788848218,2892263.6809227457,3513097.896703565,823458.0388848218,34.5616049330457,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2024-04-01,3384322.55,3027363.2476082775,2728910.2240812993,3326580.13003964,356959.30239172233,10.547437400484252,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2024-05-01,3353822.17,2773646.969207539,2471697.675633857,3077486.061130348,580175.2007924607,17.298925565646815,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2024-06-01,4073222.6,3262703.030549494,2956245.4353559213,3576098.164644941,810519.569450506,19.89873004854942,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2024-07-01,3831326.94,4053707.2763194204,3758489.4305848945,4369694.133097528,222380.3363194205,5.804264157091759,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2024-08-01,3882504.84,4384113.023823863,4100587.4077466656,4693124.467857332,501608.18382386304,12.919705306120443,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2024-09-01,3707620.19,3827904.782181219,3501667.8912510257,4132188.2451345925,120284.59218121925,3.2442533489715206,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2024-10-01,3937166.89,3684380.5753507144,3384259.411600968,3961217.6698482707,252786.31464928575,6.420513067183843,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2024-11-01,3377224.78,3556515.948107384,3252086.8622777592,3849144.9348259713,179291.16810738435,5.308831356714857,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2024-12-01,2412355.81,2586361.06724502,2306820.334655955,2856806.6175255803,174005.25724502,7.213084260775777,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2025-01-01,1692955.48,2160853.7344992617,1840764.376622961,2479167.1990346764,467898.25449926173,27.637953863929237,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2025-02-01,2857875.71,2237413.1877997937,1944550.2049212053,2522938.459152648,620462.5222002063,21.710619535662254,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2025-03-01,4285420.12,3541108.9095157585,3247910.374849304,3835662.489338474,744311.2104842416,17.368453725471415,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2025-04-01,3639560.0,3586720.5178945586,3280514.9576449,3880633.2537325257,52839.48210544139,1.451809617246079,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2025-05-01,3586054.11,3379606.1153268223,3062931.2759037223,3673215.73431852,206447.9946731776,5.756968197927655,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2025-06-01,3760076.82,3031118.0322666103,2728726.450116305,3331738.1866614562,728958.7877333895,19.38680571247982,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2025-07-01,4706299.66,4197829.981280837,3912597.214210978,4497682.147667069,508469.67871916294,10.804022596367417,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2025-08-01,4444984.28,4930124.879489746,4621925.175713497,5212458.754196553,485140.5994897457,10.914337800307038,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2025-09-01,4924613.8,4716498.783539081,4411571.131586152,5010891.832942473,208115.01646091882,4.226017001798574,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2025-10-01,3909777.29,4082503.2040399103,3811165.6162220067,4382386.297405763,172725.9140399103,4.417794192055126,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2025-11-01,2902568.6,3864958.6901292717,3526980.3817273485,4152286.828239688,962390.0901292716,33.15649766655891,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2025-12-01,2863898.68,2639130.137425097,2344816.772578777,2958776.9434504,224768.542574903,7.848341288907015,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2024-01-01,7487322.45,7118034.683631112,6573271.458182586,7652941.518811654,369287.7663688883,4.932173935809167,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2024-02-01,6770496.38,6749122.7661765665,6219626.517178515,7235906.547462381,21373.613823433407,0.31568754525253,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2024-03-01,6708263.86,7472530.866326862,6928169.693208367,8055579.053258212,764267.0063268617,11.392918082486721,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2024-04-01,8014364.56,6870203.571709094,6316756.817336726,7384519.228844603,1144160.988290906,14.276378117380101,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2024-05-01,6551873.9,6980417.299601146,6456657.970185309,7491142.960356442,428543.39960114565,6.540776061046377,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2024-06-01,5916923.61,6158599.572697711,5667841.347076958,6673396.65782041,241675.96269771084,4.084486781091143,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2024-07-01,7285405.84,7293956.005262477,6776119.009214999,7799103.040927446,8550.165262477472,0.1173601780086622,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2024-08-01,6734501.53,6870233.455411253,6325379.446652327,7392594.111386925,135731.9254112523,2.0154710011811714,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2024-09-01,6890562.42,7079188.028144459,6547511.41864858,7593804.468445627,188625.60814445931,2.737448652913579,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2024-10-01,6983682.78,7336165.463072401,6791010.011277927,7851290.147795544,352482.6830724003,5.047232157821468,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2024-11-01,7104429.72,7327742.756505291,6794921.169415336,7830391.07690515,223313.03650529124,3.1432929215505174,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2024-12-01,8749141.98,8204118.584816016,7659551.451250616,8749122.039052252,545023.3951839842,6.229449658376491,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2025-01-01,6362503.5,6092218.233503693,5581762.499796498,6600616.886224684,270285.2664963072,4.248096154230913,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2025-02-01,6991923.71,6270294.941061993,5711570.757646161,6786839.0558165945,721628.7689380068,10.320890199444221,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2025-03-01,7673089.69,7622976.941376714,7056192.884106361,8131713.208169682,50112.748623286374,0.6530973916360722,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2025-04-01,6267855.62,6764408.749563429,6257434.688711757,7287485.721244241,496553.12956342846,7.922217097327275,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2025-05-01,5840783.31,6471340.67136336,5972405.7441017525,6958825.013905958,630557.3613633607,10.79576707260795,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2025-06-01,5228866.61,5047593.840042762,4508158.439923671,5569846.585260408,181272.76995723788,3.466769827529371,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2025-07-01,7329682.29,6723976.650408031,6188590.252920148,7256239.373755678,605705.6395919686,8.263736620867487,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2025-08-01,6256447.34,6606122.799878858,6077421.98870234,7149307.364974275,349675.4598788582,5.589041845573309,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2025-09-01,7218213.37,7075409.0159353055,6566248.726585054,7627664.155698577,142804.3540646946,1.9783892044284996,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2025-10-01,8062211.52,7780868.045597371,7275432.151102523,8314257.92528368,281343.47440262884,3.489656326985438,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2025-11-01,6500983.94,7668630.372315567,7144688.958177663,8217774.041582844,1167646.4323155666,17.96107240215035,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Vigo,2025-12-01,8401779.81,8286221.403345315,7740988.45397977,8878442.491591165,115558.40665468574,1.3754038937933764,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
